date, pm25, pm10, o3, no2, co
2019/1/13, 163, 135, 40, 154, 61
2019/1/14, 174, 160, 66, 199, 73
2019/1/15, 244, 169, 66, 122, 40
2019/1/16, 268, 169, 66, 118, 48
2019/1/17, 268, 152, 59, 149, 109
2019/1/18, 218, 156, 53, 150, 109
2019/1/19, 230, 153, 62, 137, 98
2019/1/20, 226, 138, 17, 126, 96
2019/1/21, 183, 129, 98, 130, 85
2019/1/22, 161, 88, 62, 49, 64
2019/1/23, 78, 108, 136, 88, 74
2019/1/24, 106, 117, 122, 78, 68
2019/1/25, 118, 126, 52, 139, 83
2019/1/26, 124, 126, 47, 118, 75
2019/1/27, 126, 116, 44, 133, 85
2019/1/28, 104, 122, 49, 155, 89
2019/1/29, 120, 134, 74, 176, 90
2019/1/30, 148, 125, 72, 131, 80
2019/1/31, 132, 131, 101, 131, 83
2019/2/1, 151, 120, 89, 109, 78
2019/2/2, 121, 116, 62, 96, 74
2019/2/3, 111, 126, 33, 138, 98
2019/2/4, 123, 126, 78, 131, 84
2019/2/5, 123, 121, 116, 110, 80
2019/2/6, 114, 101, 90, 64, 51
2019/2/7, 88, 95, 71, 60, 49
2019/2/8, 75, 139, 45, 120, 58
2019/2/9, 146, 166, 62, 195, 81
2019/2/10, 218, 163, 57, 178, 87
2019/2/11, 219, 144, 52, 152, 87
2019/2/12, 174, 129, 64, 108, 76
2019/2/13, 135, 119, 142, 95, 63
2019/2/14, 139, 105, 116, 71, 50
2019/2/15, 100, 101, 121, 80, 49
2019/2/16, 89, 107, 200, 82, 45
2019/2/17, 95, 113, 187, 77, 47
2019/2/18, 105, 116, 193, 83, 48
2019/2/19, 120, 134, 136, 102, 57
2019/2/20, 168, 116, 178, 79, 43
2019/2/21, 124, 114, 101, 86, 48
2019/2/22, 122, 120, 98, 106, 56
2019/2/23, 139, 110, 131, 88, 34
2019/2/24, 106, 100, 86, 71, 28
2019/2/25, 88, 102, 60, 72, 24
2019/2/26, 87, 107, 79, 65, 25
2019/2/27, 90, 102, 94, 51, 24
2019/2/28, 80, 100, 94, 58, 31
2019/3/1, 75, 138, 133, 119, 38
2019/3/2, 34, 104, 135, 61, 20
2019/3/3, 29, 71, 119, 41, 21
2019/3/4, 22, 95, 86, 35, 24
2019/3/5, 42, 108, 102, 38, 29
2019/3/6, 58, 109, 97, 66, 37
2019/3/7, 42, 119, 181, 91, 40
2019/3/8, 52, 113, 116, 81, 32
2019/3/9, 49, 122, 112, 71, 29
2019/3/10, 39, 116, 88, 57, 24
2019/3/11, 37, 123, 94, 88, 36
2019/3/12, 63, 117, 128, 95, 41
2019/3/13, 141, 87, 124, 94, 54
2019/3/14, 104, 119, 122, 114, 40
2019/3/15, 171, 122, 176, 119, 41
2019/3/16, 184, 106, 199, 100, 29
2019/3/17, 138, 102, 246, 81, 30
2019/3/18, 124, 119, 229, 85, 29
2019/3/19, 179, 115, 222, 80, 31
2019/3/20, 168, 102, 142, 60, 81
2019/3/21, 124, 91, 106, 61, 88
2019/3/22, 97, 108, 175, 97, 96
2019/3/23, 144, 125, 129, 103, 100
2019/3/24, 203, 135, 148, 109, 102
2019/3/25, 238, 140, 172, 106, 96
2019/3/26, 258, 137, 169, 93, 80
2019/3/27, 247, 122, 113, 77, 75
2019/3/28, 195, 120, 172, 96, 68
2019/3/29, 189, 123, 200, 80, 45
2019/3/30, 207, 112, 160, 54, 39
2019/3/31, 168, 108, 125, 46, 40
2018/10/1, 120, 100, 31, 117, 50
2018/10/2, 137, 91, 37, 110, 47
2018/10/3, 117, 84, 38, 105, 53
2018/10/4, 99, 100, 14, 120, 60
2018/10/5, 141, 118, 14, 132, 64
2018/10/6, 202, 122, 29, 134, 47
2018/10/7, 215, 115, 24, 122, 40
2018/10/8, 188, 117, 30, 102, 32
2018/10/9, 197, 114, 55, 86, 26
2018/10/10, 187, 107, 70, 62, 21
2018/10/11, 162, 106, 55, 65, 26
2018/10/12, 158, 113, 36, 81, 28
2018/10/13, 179, 111, 50, 86, 24
2018/10/14, 171, 110, 39, 84, 27
2018/10/15, 171, 113, 39, 100, 48
2018/10/16, 186, 107, 65, 94, 42
2018/10/17, 163, 95, 68, 75, 29
2018/10/18, 124, 92, 60, 85, 47
2018/10/19, 117, 88, 61, 83, 39
2018/10/20, 107, 95, 67, 86, 41
2018/10/21, 124, 102, 107, 84, 43
2018/10/22, 142, 97, 84, 79, 34
2018/10/23, 129, 101, 86, 88, 37
2018/10/24, 137, 107, 54, 103, 41
2018/10/25, 159, 111, 38, 110, 48
2018/10/26, 175, 119, 14, 118, 20
2018/10/27, 201, 119, 14, 118, 21
2018/10/28, 201, 107, 66, 111, 26
2018/10/29, 159, 104, 66, 112, 35
2018/10/30, 147, 123, 48, 133, 43
2018/10/31, 214, 128, 42, 133, 45
2018/11/1, 235, 112, 47, 121, 47
2018/11/2, 181, 113, 47, 116, 53
2018/11/3, 188, 86, 39, 91, 47
2018/11/4, 129, 68, 44, 77, 47
2018/11/5, 81, 74, 45, 78, 50
2018/11/6, 87, 91, 42, 83, 46
2018/11/7, 117, 156, 86, 81, 39
2018/11/8, 277, 127, 91, 78, 33
2018/11/9, 212, 108, 80, 82, 31
2018/11/10, 169, 102, 87, 87, 27
2018/11/11, 143, 94, 88, 93, 27
2018/11/12, 121, 101, 86, 108, 29
2018/11/13, 141, 106, 82, 99, 27
2018/11/14, 158, 108, 73, 103, 34
2018/11/15, 165, 114, 33, 129, 34
2018/11/16, 189, 111, 61, 122, 35
2018/11/17, 176, 100, 92, 104, 27
2018/11/18, 137, 104, 67, 93, 34
2018/11/19, 154, 102, 19, 110, 47
2018/11/20, 151, 103, 29, 142, 54
