date, pm25, pm10, o3, no2, co
2020/12/22, 453, 533, 69, 11, 34
2020/12/23, 397, 517, 32, 13, 23
2020/12/24, 387, 174, 11, 10, 17
2020/12/25, 259, 130, 10, 13, 13
2020/12/26, 261, 167, 12, 10, 10
2020/12/27, 269, 135, 15, 9, 6
2020/12/28, 163, 109, 10, 10, 7
2020/12/29, 189, 125, 7, 10, 9
2020/12/30, 227, 214, 21, 14, 9
2020/12/31, 323, 329, 20, 10, 11
2021/1/1, 435, 308, 18, 12, 3
2021/1/2, 373, 112, 11, 9, 1
2021/1/3, 193, 86, 16, 11, 5
2020/7/1, 136, 90, 24, 4, 16
2020/7/2, 149, 89, 20, 4, 17
2020/7/3, 147, 59, 18, 2, 16
2020/7/4, 119, 44, 19, 3, 15
2020/7/5, 88, 61, 16, 4, 16
2020/7/6, 125, 29, 12, 2, 15
2020/7/7, 64, 42, 13, 3, 15
2020/7/8, 84, 55, 24, 6, 17
2020/7/9, 122, 52, 19, 5, 15
2020/7/10, 136, 48, 20, 4, 15
2020/7/11, 73, 42, 23, 3, 15
2020/7/12, 72, 77, 24, 5, 15
2020/7/13, 93, 92, 25, 6, 15
2020/7/14, 103, 63, 19, 3, 15
2020/7/15, 103, 54, 16, 3, 15
2020/7/16, 92, 61, 16, 4, 16
2020/7/17, 132, 52, 16, 4, 15
2020/7/18, 103, 45, 20, 6, 17
2020/7/19, 85, 39, 21, 6, 15
2020/7/20, 64, 33, 16, 6, 15
2020/7/21, 79, 39, 14, 8, 16
2020/7/22, 81, 64, 23, 9, 18
2020/7/23, 119, 63, 17, 4, 15
2020/7/24, 127, 46, 11, 3, 15
2020/7/25, 100, 61, 14, 5, 16
2020/7/26, 119, 71, 13, 8, 17
2020/7/27, 121, 61, 13, 6, 15
2020/7/28, 95, 61, 16, 9, 16
2020/7/29, 140, 44, 17, 5, 15
2020/7/30, 67, 57, 16, 6, 16
2020/7/31, 114, 53, 18, 7, 16
2020/8/1, 97, 60, 16, 7, 16
2020/8/2, 84, 58, 16, 7, 16
2020/8/3, 89, 52, 18, 6, 15
2020/8/4, 83, 67, 13, 8, 17
2020/8/5, 121, 48, 14, 4, 14
2020/8/6, 64, 43, 16, 3, 14
2020/8/7, 78, 70, 20, 8, 16
2020/8/8, 138, 47, 14, 6, 15
2020/8/9, 96, 69, 14, 4, 15
2020/8/10, 116, 69, 18, 6, 17
2020/8/11, 134, 96, 9, 6, 12
2020/8/12, 154, 24, 11, 8, 11
2020/8/13, 33, 37, 12, 6, 13
2020/8/14, 56, 50, 14, 2, 14
2020/8/15, 99, 47, 13, 2, 14
2020/8/16, 76, 49, 17, 6, 16
2020/8/17, 86, 52, 12, 7, 17
2020/8/18, 81, 43, 9, 10, 17
2020/8/19, 66, 35, 12, 9, 16
2020/8/20, 61, 46, 13, 6, 15
2020/8/21, 63, 46, 13, 3, 14
2020/8/22, 59, 36, 13, 2, 14
2020/8/24, 170, 40, 13, 3, 12
2020/8/25, 73, 46, 16, 8, 12
2020/8/26, 66, 62, 14, 7, 12
2020/8/27, 81, 61, 15, 13, 13
2020/8/28, 110, 69, 14, 6, 13
2020/8/29, 161, 49, 12, 3, 10
2020/8/30, 68, 32, 28, 4, 8
2020/8/31, 59, 51, 14, 4, 10
